P-value,Liczba,Test,n
0.8551321405847059,Pi,monobit,3000
0.7150006546880894,Pi,monobit,3000
0.2144194502426502,Pi,monobit,3000
0.941782503847368,Pi,monobit,3000
0.38083648030671213,Pi,monobit,3000
0.01595342770019914,Pi,monobit,3000
0.044609718024939626,Pi,monobit,3000
0.22820730654462995,Pi,monobit,3000
0.013027782262899024,Pi,monobit,3000
0.44319355006719996,Pi,monobit,3000
0.6092056132701684,Pi,monobit,3000
0.2144194502426502,Pi,monobit,3000
0.8838745372567065,Pi,monobit,3000
0.1081305453115029,Pi,monobit,3000
0.044609718024939626,Pi,monobit,3000
0.8265807014393571,Pi,monobit,3000
0.8265807014393571,Pi,monobit,3000
0.8838745372567065,Pi,monobit,3000
0.38083648030671213,Pi,monobit,3000
0.6350058912972967,Pi,monobit,3000
0.8265807014393571,Pi,monobit,3000
0.8551321405847059,Pi,monobit,3000
0.10034824646229068,Pi,monobit,3000
0.6612572218537376,Pi,monobit,3000
0.1441270348160153,Pi,monobit,3000
0.20124262095772405,Pi,monobit,3000
0.2576512716644368,Pi,monobit,3000
0.9127706190965621,Pi,monobit,3000
0.7982567374169431,Pi,monobit,3000
0.7424326978058251,Pi,monobit,3000
0.10034824646229068,Pi,monobit,3000
0.361310428526179,Pi,monobit,3000
0.5838824207703652,Pi,monobit,3000
0.7424326978058251,Pi,monobit,3000
0.32418189071474,Pi,monobit,3000
0.07965142325325925,Pi,monobit,3000
0.941782503847368,Pi,monobit,3000
0.5110092070684837,Pi,monobit,3000
0.7982567374169431,Pi,monobit,3000
0.7982567374169431,Pi,monobit,3000
0.7424326978058251,Pi,monobit,3000
0.30658431555590826,Pi,monobit,3000
0.7424326978058251,Pi,monobit,3000
0.5838824207703652,Pi,monobit,3000
0.4652088184521417,Pi,monobit,3000
0.32418189071474,Pi,monobit,3000
0.9127706190965621,Pi,monobit,3000
0.400997398900623,Pi,monobit,3000
0.040871534089006234,Pi,monobit,3000
0.18866651767868525,Pi,monobit,3000
0.4217860926006307,Pi,monobit,3000
0.38083648030671213,Pi,monobit,3000
0.7982567374169431,Pi,monobit,3000
0.27332167829229803,Pi,monobit,3000
0.5590606059214589,Pi,monobit,3000
0.6612572218537376,Pi,monobit,3000
0.06256691631696598,Pi,monobit,3000
0.9708718482506147,Pi,monobit,3000
0.040871534089006234,Pi,monobit,3000
0.7424326978058251,Pi,monobit,3000
0.8838745372567065,Pi,monobit,3000
0.4878189913676967,Pi,monobit,3000
0.4217860926006307,Pi,monobit,3000
0.07965142325325925,Pi,monobit,3000
0.22820730654462995,Pi,monobit,3000
0.8551321405847059,Pi,monobit,3000
0.2144194502426502,Pi,monobit,3000
0.7150006546880894,Pi,monobit,3000
0.7150006546880894,Pi,monobit,3000
0.2144194502426502,Pi,monobit,3000
0.5838824207703652,Pi,monobit,3000
0.02357904149470702,Pi,monobit,3000
0.4878189913676967,Pi,monobit,3000
0.2144194502426502,Pi,monobit,3000
0.4878189913676967,Pi,monobit,3000
0.6879319044428245,Pi,monobit,3000
0.7150006546880894,Pi,monobit,3000
0.7424326978058251,Pi,monobit,3000
0.9127706190965621,Pi,monobit,3000
0.9127706190965621,Pi,monobit,3000
0.7982567374169431,Pi,monobit,3000
0.6092056132701684,Pi,monobit,3000
0.0735782616358549,Pi,monobit,3000
0.8265807014393571,Pi,monobit,3000
0.7701958714564099,Pi,monobit,3000
0.5590606059214589,Pi,monobit,3000
0.6879319044428245,Pi,monobit,3000
0.4878189913676967,Pi,monobit,3000
0.5110092070684837,Pi,monobit,3000
0.27332167829229803,Pi,monobit,3000
0.3424244469216555,Pi,monobit,3000
0.04863230451469036,Pi,monobit,3000
0.8265807014393571,Pi,monobit,3000
0.5110092070684837,Pi,monobit,3000
0.8265807014393571,Pi,monobit,3000
0.2576512716644368,Pi,monobit,3000
0.8838745372567065,Pi,monobit,3000
0.7424326978058251,Pi,monobit,3000
0.5590606059214589,Pi,monobit,3000
0.361310428526179,Pi,monobit,3000
0.5838824207703652,Pi,monobit,3000
0.7982567374169431,Pi,monobit,3000
0.013027782262899024,Pi,monobit,3000
0.6350058912972967,Pi,monobit,3000
0.941782503847368,Pi,monobit,3000
0.22820730654462995,Pi,monobit,3000
0.7982567374169431,Pi,monobit,3000
0.09301910456066897,Pi,monobit,3000
0.400997398900623,Pi,monobit,3000
0.9127706190965621,Pi,monobit,3000
0.6092056132701684,Pi,monobit,3000
0.6879319044428245,Pi,monobit,3000
0.16526990723277724,Pi,monobit,3000
0.8838745372567065,Pi,monobit,3000
0.27332167829229803,Pi,monobit,3000
0.13436507422576982,Pi,monobit,3000
0.7982567374169431,Pi,monobit,3000
0.44319355006719996,Pi,monobit,3000
0.5347626571414008,Pi,monobit,3000
0.5110092070684837,Pi,monobit,3000
0.5838824207703652,Pi,monobit,3000
0.8265807014393571,Pi,monobit,3000
0.4652088184521417,Pi,monobit,3000
0.2144194502426502,Pi,monobit,3000
0.08612592865412205,Pi,monobit,3000
0.5590606059214589,Pi,monobit,3000
0.09301910456066897,Pi,monobit,3000
0.38083648030671213,Pi,monobit,3000
0.5590606059214589,Pi,monobit,3000
0.941782503847368,Pi,monobit,3000
0.32418189071474,Pi,monobit,3000
0.9127706190965621,Pi,monobit,3000
0.5590606059214589,Pi,monobit,3000
0.5110092070684837,Pi,monobit,3000
0.1441270348160153,Pi,monobit,3000
0.5590606059214589,Pi,monobit,3000
0.7701958714564099,Pi,monobit,3000
0.941782503847368,Pi,monobit,3000
0.4217860926006307,Pi,monobit,3000
0.941782503847368,Pi,monobit,3000
0.400997398900623,Pi,monobit,3000
0.9708718482506147,Pi,monobit,3000
0.4217860926006307,Pi,monobit,3000
0.8551321405847059,Pi,monobit,3000
0.13436507422576982,Pi,monobit,3000
0.11638301016017394,Pi,monobit,3000
0.8838745372567065,Pi,monobit,3000
0.5838824207703652,Pi,monobit,3000
0.8265807014393571,Pi,monobit,3000
0.941782503847368,Pi,monobit,3000
0.6879319044428245,Pi,monobit,3000
0.1544237061170961,Pi,monobit,3000
0.02357904149470702,Pi,monobit,3000
0.38083648030671213,Pi,monobit,3000
0.7701958714564099,Pi,monobit,3000
0.9708718482506147,Pi,monobit,3000
0.32418189071474,Pi,monobit,3000
0.2426153026580753,Pi,monobit,3000
0.8551321405847059,Pi,monobit,3000
0.5347626571414008,Pi,monobit,3000
0.30658431555590826,Pi,monobit,3000
0.4652088184521417,Pi,monobit,3000
0.2576512716644368,Pi,monobit,3000
0.361310428526179,Pi,monobit,3000
0.18866651767868525,Pi,monobit,3000
0.5838824207703652,Pi,monobit,3000
0.2896315338632989,Pi,monobit,3000
0.6879319044428245,Pi,monobit,3000
0.400997398900623,Pi,monobit,3000
0.6879319044428245,Pi,monobit,3000
0.8551321405847059,Pi,monobit,3000
0.8838745372567065,Pi,monobit,3000
0.32418189071474,Pi,monobit,3000
0.0061698993205441255,e,monobit,3000
0.3424244469216555,e,monobit,3000
0.7150006546880894,e,monobit,3000
0.941782503847368,e,monobit,3000
0.7424326978058251,e,monobit,3000
0.5347626571414008,e,monobit,3000
0.4878189913676967,e,monobit,3000
0.941782503847368,e,monobit,3000
0.9127706190965621,e,monobit,3000
0.9708718482506147,e,monobit,3000
0.8551321405847059,e,monobit,3000
0.30658431555590826,e,monobit,3000
0.6879319044428245,e,monobit,3000
0.7701958714564099,e,monobit,3000
0.07965142325325925,e,monobit,3000
0.7701958714564099,e,monobit,3000
0.3424244469216555,e,monobit,3000
0.10034824646229068,e,monobit,3000
0.6092056132701684,e,monobit,3000
0.09301910456066897,e,monobit,3000
0.4878189913676967,e,monobit,3000
0.5110092070684837,e,monobit,3000
0.27332167829229803,e,monobit,3000
0.17667974480966864,e,monobit,3000
0.7424326978058251,e,monobit,3000
0.2896315338632989,e,monobit,3000
0.8551321405847059,e,monobit,3000
0.09301910456066897,e,monobit,3000
0.18866651767868525,e,monobit,3000
0.38083648030671213,e,monobit,3000
0.6612572218537376,e,monobit,3000
0.5347626571414008,e,monobit,3000
0.5347626571414008,e,monobit,3000
0.03740227329584478,e,monobit,3000
0.0735782616358549,e,monobit,3000
0.8551321405847059,e,monobit,3000
0.1441270348160153,e,monobit,3000
0.5838824207703652,e,monobit,3000
0.7982567374169431,e,monobit,3000
0.3424244469216555,e,monobit,3000
0.9127706190965621,e,monobit,3000
0.5347626571414008,e,monobit,3000
0.1544237061170961,e,monobit,3000
0.6612572218537376,e,monobit,3000
0.30658431555590826,e,monobit,3000
0.4878189913676967,e,monobit,3000
0.8551321405847059,e,monobit,3000
0.1441270348160153,e,monobit,3000
0.13436507422576982,e,monobit,3000
0.6612572218537376,e,monobit,3000
0.5347626571414008,e,monobit,3000
0.7982567374169431,e,monobit,3000
0.9127706190965621,e,monobit,3000
0.5347626571414008,e,monobit,3000
0.38083648030671213,e,monobit,3000
0.38083648030671213,e,monobit,3000
0.5838824207703652,e,monobit,3000
0.8551321405847059,e,monobit,3000
0.400997398900623,e,monobit,3000
0.9708718482506147,e,monobit,3000
0.03418687901967821,e,monobit,3000
0.5838824207703652,e,monobit,3000
0.019441805975632054,e,monobit,3000
0.5838824207703652,e,monobit,3000
0.3424244469216555,e,monobit,3000
0.8838745372567065,e,monobit,3000
0.32418189071474,e,monobit,3000
0.3424244469216555,e,monobit,3000
0.4652088184521417,e,monobit,3000
0.5838824207703652,e,monobit,3000
0.7150006546880894,e,monobit,3000
0.44319355006719996,e,monobit,3000
0.941782503847368,e,monobit,3000
0.6612572218537376,e,monobit,3000
0.6092056132701684,e,monobit,3000
1.0,e,monobit,3000
0.6092056132701684,e,monobit,3000
0.4878189913676967,e,monobit,3000
0.2144194502426502,e,monobit,3000
0.7982567374169431,e,monobit,3000
0.2144194502426502,e,monobit,3000
0.8838745372567065,e,monobit,3000
